elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
65,b65ee3528dfd,b65ee3528dfd,1,4,218,233,15,0,4,3,59,bbe1ed0b9ad0dc9b838b15ba7cbbb66e
65,ff57919fded3,ff57919fded3,1,4,218,233,15,0,4,3,59,e6d504549d92a770567545677f0a1b7c
65,,413641414fef,0,4,,,,,,,,
67,779777a69aa2,779777a69aa2,1,4,218,237,19,0,4,3,62,18076ef10b7e3a879373d3781019fc6c
67,b65ee3528dfd,b65ee3528dfd,1,4,218,239,21,0,4,3,61,03502a33671127bfdd6997f68138c894
67,ff57919fded3,ff57919fded3,1,4,218,239,21,0,4,3,61,03502a33671127bfdd6997f68138c894
67,,413641414fef,0,4,,,,,,,,
68,779777a69aa2,779777a69aa2,1,4,218,242,24,0,4,3,63,0958ad006aaefa86f6780e3127a5b406
68,b65ee3528dfd,b65ee3528dfd,1,4,218,242,24,0,4,3,62,0958ad006aaefa86f6780e3127a5b406
68,ff57919fded3,ff57919fded3,1,4,218,242,24,0,4,3,62,0958ad006aaefa86f6780e3127a5b406
68,,413641414fef,0,4,,,,,,,,
69,779777a69aa2,779777a69aa2,1,4,218,245,27,0,4,3,64,1418743074221ab81ef4dae9bb95bf8c
69,b65ee3528dfd,b65ee3528dfd,1,4,218,245,27,0,4,3,63,1418743074221ab81ef4dae9bb95bf8c
69,ff57919fded3,ff57919fded3,1,4,218,245,27,0,4,3,63,1418743074221ab81ef4dae9bb95bf8c
69,,413641414fef,0,4,,,,,,,,
70,779777a69aa2,779777a69aa2,1,4,218,248,30,0,4,3,65,66a976a369c8f78ea2a902b6e05ac44b
70,b65ee3528dfd,b65ee3528dfd,1,4,218,248,30,0,4,3,64,66a976a369c8f78ea2a902b6e05ac44b
70,ff57919fded3,ff57919fded3,1,4,218,248,30,0,4,3,64,66a976a369c8f78ea2a902b6e05ac44b
70,,413641414fef,0,4,,,,,,,,
71,779777a69aa2,779777a69aa2,1,4,218,251,33,0,4,3,66,5c5a4afb7949dbfdbe83597330083258
71,b65ee3528dfd,b65ee3528dfd,1,4,218,251,33,0,4,3,65,5c5a4afb7949dbfdbe83597330083258
71,ff57919fded3,ff57919fded3,1,4,218,251,33,0,4,3,65,5c5a4afb7949dbfdbe83597330083258
71,,413641414fef,0,4,,,,,,,,
72,779777a69aa2,779777a69aa2,1,4,218,254,36,0,4,3,67,f5ab47f38bcbc903a676f0e0acb463b2
